S000, Sua, Sua Ong Tho Do, Thung, 576000, SK0000, 21 12 2020, 21 12 2022, 02 02 2021, 04 02 2022
GV000, Gia vi, Dau an neptune 400ml, Thung, 300000, GVK12920G, 21 2 2020, 21 2 2021, 02 02 2021, 04 02 2021
GV001, Gia vi, Nuoc mam rong vang, Thung, 225000, GVK12920G, 21 12 2020, 21 3 2021, 02 02 2021, 04 02 2021
GV002, Gia vi, Thai long vi chat 750ml, Thung, 360000, GVK12920G, 21 12 2020, 21 12 2021, 02 02 2021, 04 02 2021
S001, Sua, Sua Kun cacao lua mach 180ml, Thung, 168000, SK0000, 01 03 2021, 01 08 2021, 02 03 2021, 04 04 2021
DU000, Do uong, Cafe chon stick, Lo, 370000, DUK0000, 01 03 2021, 01 08 2021, 02 03 2021, 04 04 2021
DU001, Do uong, Cafe VN sua 3in1 gold bich, Bich, 47000, DK2322, 01 03 2021, 01 08 2021, 02 03 2021, 04 04 2021
DAN001, Do an nhanh, My tom hao hao, Thung, 79200, DANK0000, 26 04 2021, 26 10 2021, 26 05 2021, 20 06 2021
DAN002, Do an nhanh, My trung vang, Thung, 60000, DANK0000, 26 04 2021, 26 10 2021, 26 05 2021, 4 06 2021
DAN003, Do an nhanh, Pho ga Nhu Y, Thung, 96000, DANK0000, 26 04 2021, 26 10 2021, 26 05 2021, 12 06 2021
DAN004, Do an nhanh, Chao dau xanh vi huong, Thung, 48000, DANK0001, 26 04 2021, 26 10 2021, 26 05 2021, 12 06 2021
DAN005, Do an nhanh, Chao ga gau do, Thung, 72000, DANK0001, 26 02 2021, 26 10 2021, 26 03 2021, 04 04 2021
GV003, Gia vi, Nuoc mam kabin, Thung, 504000, GVK12920G, 21 12 2020, 21 12 2021, 02 01 2021, 04 04 2021
DU002, Do uong, Chanh muoi 480g, Thung, 156000, DK2322, 01 03 2021, 01 06 2021, 02 03 2021, 09 04 2021
DU003, Do uong, 7up 1.5l, Loc, 56000, DK2322, 01 03 2021, 01 06 2021, 02 03 2021, 04 05 2021
S002, Sua, Kun cam 180ml, Thung, 1200000, SK0000, 21 12 2020, 01 05 2021, 02 03 2021, 06 03 2021
BK001, Banh keo, Banh Start, Hop, 21000, BKK0000, 21 12 2020, 08 05 2021, 02 03 2021, 04 04 2021
BK001, Banh keo, Keo Socola Ferrero, Hop, 360000, BKK0001, 09 02 2021, 08 12 2021, 02 03 2021, 12 04 2021
BK002, Banh keo, Keo CaCao Ferrero, Hop, 360000, BKK0001, 09 02 2021, 08 12 2021, 02 03 2021, 04 06 2021
BK003, Banh keo, Banh kem phomai Dau, Hop, 63500, BKK0001, 09 02 2021, 08 12 2021, 02 03 2021, 02 04 2021
BK004, Banh keo, Hat hanh nhan rang muoi, Hop, 230000, BKK0002, 18 03 2021, 08 12 2021, 05 04 2021, 15 04 2021
BK005, Banh keo, Hat Mac ca nuong, Hop, 202000, BKK0002, 18 03 2021, 08 12 2021, 05 04 2021, 17 04 2021
BK006, Banh keo, Keo mut huu co Yumearth, Hop, 220000, BKK0002, 18 03 2021, 08 12 2021, 05 04 2021, 21 06 2021
DU0012, Do uong, Nuoc cot dua,	Thung, 516000, DUK0002, 20 05 2021, 01 06 2021, 23 05 2021, 27 05 2021
BK002, Banh keo, Tra gung, Hop, 33000, BKK0001, 21 12 2020, 08 05 2021, 28 04 2021, 21 06 2021
DH0003, Do hop,	Thit hop heo ham, Hop, 23000, DH0001, 21 12 2020, 08 05 2021, 15 01 2021, 04 04 2021
S003, Sua, Yomost dau to, Thung, 1224000, SK0001, 21 01 2020, 01 03 2021, 25 02 2021, 06 03 2021
S0012, Sua,	Nuti IQ 123 to, Hop, 182000, SK0010, 15 02 2021, 15 02 2022, 20 02 2021, 09 04 2021
S004, Sua, Yomost dau be, Day, 16000, SK0001, 21 01 2020, 01 03 2021, 25 02 2021, 04 04 2021
S005, Sua, Sua ozela, Day, 25000, SK0001, 21 01 2020, 01 03 2021, 25 02 2021, 11 03 2021
DH0001, Do hop, Thit vai heo, Lo20, 1400000, DHK0000, 05 01 2021, 05 7 2021, 06 01 2021, 11 06 2021
DH0002, Do hop, Bo kho Vissan, Lo20, 780000, DHK0000, 05 01 2021, 05 6 2021, 06 01 2021, 11 06 2021
DH0003, Do hop, Bate Thit, Lo20, 430000, DHK0000, 05 01 2021, 05 6 2021, 06 01 2021, 04 06 2021
DC0000, Do chay, mien Khang Phuc, Ly24, 259000, DCK0000, 15 02 2021, 15 10 2021, 06 03 2021, 04 05 2021
DC0001, Do chay, Pho Bich Chi, Thung, 210000, DCK0000, 15 02 2021, 15 10 2021, 06 03 2021, 04 05 2021
